label,frame_index,value_00,value_01,value_02,value_03,value_04,value_05,value_06,value_07,value_08,value_09,value_10,value_11,value_12,value_13,value_14,value_15
class_a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,1,4608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,2,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,3,16128,0,0,0,3328,0,0,0,0,0,0,0,0,0,0,0
class_a,4,22784,8960,768,0,3840,0,0,0,0,0,0,0,0,0,0,0
class_a,5,28160,9984,3072,0,3328,0,0,0,0,0,0,0,0,0,0,0
class_a,6,25088,7680,3584,0,3584,0,0,0,0,0,0,0,0,0,0,0
class_a,7,21504,6144,1536,0,4352,0,0,0,0,0,0,0,0,0,0,0
class_a,8,21504,4864,1792,0,4096,0,0,0,0,0,0,0,0,0,0,0
class_a,9,25600,0,2816,0,4352,0,0,0,0,0,0,0,0,0,0,0
class_a,10,19200,0,3328,0,4352,0,0,0,0,0,0,0,0,0,0,0
class_a,11,10496,0,512,0,1536,0,0,0,0,0,0,0,0,0,0,0
class_a,12,7168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,13,4352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,14,4864,0,0,0,0,0,0,0,0,0,0,0,1536,0,0,0
class_a,15,5632,0,0,0,0,0,0,0,0,0,0,0,3072,0,0,0
class_a,16,6144,0,0,0,0,0,0,0,0,0,0,0,2304,0,0,0
class_a,17,4096,0,0,0,0,0,0,0,0,0,0,0,512,0,0,0
class_a,18,2048,0,0,0,768,0,0,0,0,0,0,0,0,0,0,0
class_a,19,0,0,0,0,4352,0,0,0,0,0,0,0,0,0,0,0
class_a,20,5376,0,0,0,1024,256,0,0,0,0,0,0,256,0,0,0
class_a,21,5632,0,0,0,0,1792,0,0,0,0,0,0,0,0,0,0
class_a,22,4608,0,0,0,0,1536,0,0,0,0,0,0,0,0,0,0
class_a,23,3328,0,0,0,0,1536,0,0,0,0,0,0,512,0,0,0
class_a,24,1280,0,4864,0,256,2048,0,0,0,0,0,0,1536,0,0,0
class_a,25,768,0,12544,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,26,0,0,9728,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,27,0,0,7168,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,28,0,1280,13056,1024,0,0,0,0,0,0,0,0,0,0,0,0
class_a,29,0,6144,17920,3840,0,0,0,0,0,0,0,0,0,0,0,0
class_a,30,0,8192,14336,1024,0,0,0,0,0,0,0,0,0,0,0,0
class_a,31,0,13056,13824,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,32,0,25856,17920,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,33,0,37120,29440,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,34,0,34816,38144,0,2560,0,0,0,0,0,0,0,0,0,0,0
class_a,35,768,34560,39936,0,3584,0,0,0,0,0,0,0,0,0,0,0
class_a,36,0,25600,36864,0,6656,0,0,0,0,0,0,0,0,0,0,0
class_a,37,0,18432,29440,0,5888,0,0,0,256,0,0,0,0,0,0,0
class_a,38,0,12544,27648,0,4608,0,0,0,0,0,0,0,0,0,0,0
class_a,39,2048,7424,25088,0,2560,0,0,0,0,0,0,0,0,0,0,0
class_a,40,0,0,18944,0,1280,0,0,0,0,0,0,0,0,0,0,0
class_a,41,0,0,13568,0,0,0,256,0,0,0,0,0,0,0,0,0
class_a,42,0,0,9216,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,43,0,0,7680,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,44,0,0,5888,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,45,1792,0,1280,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,46,6400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,47,22272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,48,53248,0,0,0,1792,0,0,0,0,0,0,0,0,0,0,0
class_a,49,8449,0,0,0,1024,0,0,0,0,0,0,0,0,0,0,0
class_a,50,38657,0,0,0,1792,0,0,0,0,0,0,0,0,0,0,0
class_a,51,45825,0,0,0,2816,0,0,0,0,0,0,0,0,0,0,0
class_a,52,51969,0,0,0,2048,0,0,0,0,0,0,0,0,0,0,0
class_a,53,43521,12544,0,0,1536,0,0,0,0,0,0,0,0,0,0,0
class_a,54,55552,40704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,55,16128,19713,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,56,0,2562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,57,0,21762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,58,0,38146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,59,0,42242,0,0,0,256,0,0,0,0,0,0,0,0,0,0
class_a,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
class_a,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
